Could you tell us if you were a user or actully contents provider?,What platform do you usually use or upload your contents?,How much do you know about the recommendation system?,How satisfied are you with the recommendation system on the platform(s)?,How keen are you to have your own contents providing site with recommendation system?,What would you like to do if you can have your own site with recommendation system?,
Normal user,Youtube;Twitch;BiliBili,3,4,5,To release advertisements and earn money,4
Content provider,Youtube;BiliBili,5,2,4,To collect data;To release advertisements and earn money,
Normal user,Youtube;Twitch,1,3,1,No idea,
Content provider,Youtube;Twitch;BiliBili,3,4,4,To serve better for the customers as well as attract more users;To release advertisements and earn money,
Normal user,Youtube,2,4,5,To release advertisements and earn money,
Content provider,BiliBili,5,1,5,To serve better for the customers as well as attract more users;To collect data,
Content provider,Youtube;Twitch,3,4,4,To collect data;To release advertisements and earn money,
Normal user,BiliBili,1,3,1,No idea,
Normal user,Youtube;BiliBili,5,5,5,To serve better for the customers as well as attract more users;To collect data;To release advertisements and earn money,
Normal user,Youtube,1,4,4,To release advertisements and earn money,
Normal user,Youtube;Twitch;BiliBili,5,2,1,No idea,
Normal user,BiliBili,3,2,4,To serve better for the customers as well as attract more users,
